Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Unsafe water source,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Unsafe water source,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Unsafe water source,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Unsafe sanitation,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Unsafe sanitation,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Unsafe sanitation,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Ambient particulate matter pollution,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Ambient particulate matter pollution,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Ambient particulate matter pollution,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Household air pollution from solid fuels,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Household air pollution from solid fuels,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Household air pollution from solid fuels,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Ambient ozone pollution,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Ambient ozone pollution,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Ambient ozone pollution,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Residential radon,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Residential radon,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Residential radon,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Lead exposure,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Lead exposure,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Lead exposure,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Child underweight,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Child underweight,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Child underweight,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Iron deficiency,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Iron deficiency,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Iron deficiency,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Vitamin A deficiency,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Vitamin A deficiency,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Vitamin A deficiency,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Zinc deficiency,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Zinc deficiency,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Zinc deficiency,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Smoking,DALYs,3.243405254,2.077309105,4.764525932
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Smoking,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Smoking,"DALYs per 100,000",0.022081957,0.014142867,0.032438146
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Secondhand smoke,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Secondhand smoke,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Secondhand smoke,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Alcohol use,DALYs,1140.899122,242.0741062,2444.245498
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Alcohol use,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Alcohol use,"DALYs per 100,000",7.767541468,1.648104221,16.6410666
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Drug use,DALYs,1498.862578,615.2058182,3055.003096
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Drug use,Percent of total DALYs,0,,
