time_hrs,chem,conc,mort,surv,dead,alive,total
0,control,0,0,100,0,60,60
2,control,0,0,100,0,60,60
4,control,0,0,100,0,60,60
6,control,0,0,100,0,60,60
8,control,0,1.94131,98.05869,1.164786,58.835214,60
10,control,0,11.15124,88.84876,6.690744,53.309256,60
12,control,0,21.986455,78.013545,13.191873,46.808127,60
14,control,0,27.133185,72.866815,16.279911,43.720089,60
16,control,0,43.386006,56.613994,26.0316036,33.9683964,60
18,control,0,70.20316,29.79684,42.121896,17.878104,60
20,control,0,89.706546,10.293454,53.8239276,6.1760724,60
0,solvent,0,0,100,0,60,60
2,solvent,0,0,100,0,60,60
4,solvent,0,0,100,0,60,60
6,solvent,0,0,100,0,60,60
8,solvent,0,1.94131,98.05869,1.164786,58.835214,60
10,solvent,0,11.15124,88.84876,6.690744,53.309256,60
12,solvent,0,23.06998,76.93002,13.841988,46.158012,60
14,solvent,0,34.717834,65.282166,20.8307004,39.1692996,60
16,solvent,0,64.514673,35.485327,38.7088038,21.2911962,60
18,solvent,0,78.058691,21.941309,46.8352146,13.1647854,60
20,solvent,0,100,0,60,0,60
0,atrazine,15,0,100,0,60,60
2,atrazine,15,0,100,0,60,60
4,atrazine,15,0,100,0,60,60
6,atrazine,15,0,100,0,60,60
8,atrazine,15,1.94131,98.05869,1.164786,58.835214,60
10,atrazine,15,11.15124,88.84876,6.690744,53.309256,60
12,atrazine,15,46.09481,53.90519,27.656886,32.343114,60
14,atrazine,15,57.200903,42.799097,34.3205418,25.6794582,60
16,atrazine,15,75.349887,24.650113,45.2099322,14.7900678,60
18,atrazine,15,89.706546,10.293454,53.8239276,6.1760724,60
20,atrazine,15,100,0,60,0,60
0,atrazine,100,0,100,0,60,60
2,atrazine,100,0,100,0,60,60
4,atrazine,100,0,100,0,60,60
6,atrazine,100,0,100,0,60,60
8,atrazine,100,1.94131,98.05869,1.164786,58.835214,60
10,atrazine,100,11.15124,88.84876,6.690744,53.309256,60
12,atrazine,100,58.555305,41.444695,35.133183,24.866817,60
14,atrazine,100,70.47404,29.52596,42.284424,17.715576,60
16,atrazine,100,83.476298,16.523702,50.0857788,9.9142212,60
18,atrazine,100,90.248307,9.751693,54.1489842,5.8510158,60
20,atrazine,100,100,0,60,0,60
