Chem,Conc,Dead
Mal,0,0
Mal,0,0
Mal,0,0
Mal,0,0
Mal,0,0
Mal,0,0
Mal,0,0
Mal,0,0
Mal,0,0
Mal,0,0
Mal,3.832708099,0
Mal,3.832708099,0
Mal,3.832708099,0
Mal,3.832708099,0
Mal,3.832708099,0
Mal,38.32708,0
Mal,38.32708,0
Mal,38.32708,0
Mal,38.32708,0
Mal,38.32708,0
Mal,383.2708,0
Mal,383.2708,0
Mal,383.2708,0
Mal,383.2708,0
Mal,383.2708,0
Mal,3832.708,0
Mal,3832.708,0
Mal,3832.708,0
Mal,3832.708,0
Mal,3832.708,0
Mal,38327.08,0
Mal,38327.08,0
Mal,38327.08,0
Mal,38327.08,1
Mal,38327.08,1
Chlor,0,0
Chlor,0,0
Chlor,0,0
Chlor,0,0
Chlor,0,0
Chlor,0,0
Chlor,0,0
Chlor,0,0
Chlor,0,0
Chlor,0,0
Chlor,0.64,0
Chlor,0.64,0
Chlor,0.64,0
Chlor,0.64,0
Chlor,0.64,0
Chlor,3.2,0
Chlor,3.2,0
Chlor,3.2,0
Chlor,3.2,0
Chlor,3.2,0
Chlor,6.4,0
Chlor,6.4,0
Chlor,6.4,0
Chlor,6.4,0
Chlor,6.4,0
Chlor,32,0
Chlor,32,1
Chlor,32,1
Chlor,32,1
Chlor,32,1
Chlor,64,1
Chlor,64,1
Chlor,64,1
Chlor,64,1
Chlor,64,1
Terb,0,0
Terb,0,0
Terb,0,0
Terb,0,0
Terb,0,0
Terb,0,0
Terb,0,0
Terb,0,0
Terb,0,0
Terb,0,0
Terb,0.0855,0
Terb,0.0855,0
Terb,0.0855,0
Terb,0.0855,0
Terb,0.0855,0
Terb,0.855,0
Terb,0.855,0
Terb,0.855,0
Terb,0.855,0
Terb,0.855,0
Terb,8.55,0
Terb,8.55,0
Terb,8.55,0
Terb,8.55,1
Terb,8.55,1
Terb,17.1,1
Terb,17.1,1
Terb,17.1,1
Terb,17.1,1
Terb,17.1,1
Terb,171,1
Terb,171,1
Terb,171,1
Terb,171,1
Terb,171,1
Lambda,0,0
Lambda,0,0
Lambda,0,0
Lambda,0,0
Lambda,0,0
Lambda,0,0
Lambda,0,0
Lambda,0,0
Lambda,0,0
Lambda,0,0
Lambda,0.027918226,0
Lambda,0.027918226,0
Lambda,0.027918226,0
Lambda,0.027918226,0
Lambda,0.027918226,0
Lambda,0.139591129,0
Lambda,0.139591129,0
Lambda,0.139591129,0
Lambda,0.139591129,0
Lambda,0.139591129,0
Lambda,0.279182258,1
Lambda,0.279182258,1
Lambda,0.279182258,1
Lambda,0.279182258,1
Lambda,0.279182258,1
Lambda,1.395911289,1
Lambda,1.395911289,1
Lambda,1.395911289,1
Lambda,1.395911289,1
Lambda,1.395911289,1
Lambda,2.791822578,1
Lambda,2.791822578,1
Lambda,2.791822578,1
Lambda,2.791822578,1
Lambda,2.791822578,1
Esfen,0,0
Esfen,0,0
Esfen,0,0
Esfen,0,0
Esfen,0,0
Esfen,0,0
Esfen,0,0
Esfen,0,0
Esfen,0,0
Esfen,0,0
Esfen,0.025549151,0
Esfen,0.025549151,0
Esfen,0.025549151,0
Esfen,0.025549151,0
Esfen,0.025549151,0
Esfen,0.255491507,0
Esfen,0.255491507,1
Esfen,0.255491507,1
Esfen,0.255491507,1
Esfen,0.255491507,1
Esfen,1.277457536,1
Esfen,1.277457536,1
Esfen,1.277457536,1
Esfen,1.277457536,1
Esfen,1.277457536,1
Esfen,2.554915071,1
Esfen,2.554915071,1
Esfen,2.554915071,1
Esfen,2.554915071,1
Esfen,2.554915071,1
Esfen,25.54915071,1
Esfen,25.54915071,1
Esfen,25.54915071,1
Esfen,25.54915071,1
Esfen,25.54915071,1
Perm,0,0
Perm,0,0
Perm,0,0
Perm,0,0
Perm,0,0
Perm,0,0
Perm,0,0
Perm,0,0
Perm,0,0
Perm,0,0
Perm,0.056777318,0
Perm,0.056777318,0
Perm,0.056777318,0
Perm,0.056777318,0
Perm,0.056777318,0
Perm,0.283886588,0
Perm,0.283886588,0
Perm,0.283886588,0
Perm,0.283886588,0
Perm,0.283886588,0
Perm,0.567773175,0
Perm,0.567773175,0
Perm,0.567773175,0
Perm,0.567773175,1
Perm,0.567773175,1
Perm,2.838865875,1
Perm,2.838865875,1
Perm,2.838865875,1
Perm,2.838865875,1
Perm,2.838865875,1
Perm,5.677731751,1
Perm,5.677731751,1
Perm,5.677731751,1
Perm,5.677731751,1
Perm,5.677731751,1
