Tank,Treat1,Treat2,Treat3,At,Ch,Fe,AC,AF,CF,ACF,A2,C2,F2,Block,Logger,Temp0,Temp1,Temp2,Temp4,Light0,Light1,Light2,Light4,Ph.F0.0,Ph.F0.1,Ph.QY.1,Ph.QY.1,Ph.F0.2,Ph.QY.2,Ph.F0.4,Ph.QY.4,Ph.F0.8,Ph.QY.8,Pe.F0.0,Pe.QY.0,Pe.F0.1,Pe.QY.1,Pe.F0.2,Pe.QY.2,Pe.F0.4,Pe.QY.4,Pe.F0.8,Pe.QY.8,TBgegg1,TBghatch1,TBgadult1,TBtegg1,TBthatch1,TBtadult1,TPhyegg1,TPhyhatch1,TPhyadult1,TBgegg2,TBghatch2,TBgadult2,TBtegg2,TBthatch2,TBtadult2,TPhyegg2,TPhyhatch2,TPhyadult2,TBgegg3,TBghatch3,TBgadult3,TBtegg3,TBthatch3,TBtadult3,TPhyegg3,TPhyhatch3,TPhyadult3,TBgegg4,TBghatch4,TBgadult4,TBtegg4,TBthatch4,TBtadult4,TPhyegg4,TPhyhatch4,TPhyadult4,TBgegg8,TBghatch8,TBgadult8,TBtegg8,TBthatch8,TBtadult8,TPhyegg8,TPhyhatch8,TPhyadult8,TBgE,TBgE,TBgH,TBgRepro,TBtE,TBtH,TBtRepro,TPhyE,TPhyH,TPhyRepro,TSnE,TSnH,TSnRepro,BgLive,BgInf,T.Bg,BtLive,BtInf,T.Bt,PhyLive,T.Phy,T.Snails,Snails.Live,P.all.24,P.all.24.surv,B.flu.24,B.flu.24.surv,P.all.end.surv,P.all.end,B.flu.end.surv,B.flu.end,Pred,PredSurv,Phyto,PerF0,PerQY,Snails,Algae
2,A + C + F,A + C + F,A + C + F,1,1,1,1,1,1,1,1,1,1,1,2,31.27458333,29.60829032,30.5,30.19980645,764,676,674.6,820.6451613,50,48,0,-4.003022834,166,0.2389,203,0.3028,252,0.422,8794,0.4918,10534,0.2913,11745,0.0246,9085,0.464,2224,0.483,4,0,0,0,0,0,3,0,0,8,0,0,7,0,0,2,4,0,5,0,0,5,15,0,5,9,2,7,0,0,4,7,0,3,5,0,0,0,0,1,5,0,0,8,3,24,3.218875825,0,24,17,27,44,13,26,39,54,53,107,16,0,35,368,0,377,283,706,1118,667,3,0,1,6,0,3,0,7,1.020520424,-1.020520424,0.316013903,0.602188182,0.049274805,0.182358914,0.222024598
3,A 2x,A 2x,Atrazine,1,0,0,0,0,0,0,2,0,0,1,3,32.20325,30.16122581,31.2,30.20680645,1826,1337,1323.4,536.2580645,86,42,0,-4.003022834,105,0,70,0,116,0.2313,11446,0.4482,8184,0.2913,6030,0.3248,9177,0.5194,1239,0.4076,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,6,0,6,0,0,0,1,0,1,4,9,10,5,0,3,0,7,3,0,1,6,0.023594388,-0.023594388,-0.009300894,-0.160140872,0.1433576,0.007375106,0.152271939
4,A 1x,A 1x,Atrazine,1,0,0,0,0,0,0,1,0,0,1,4,32.14002778,29.80764516,30.7,31.00606452,2427,1464,1173.7,1346.064516,66,35,0,-4.003022834,61,0,56,0,216,0.3811,6617,0.4485,9643,0.3732,7942,0.0961,5350,0.4852,906,0.4816,2,0,0,5,0,0,6,0,0,0,0,0,10,0,0,1,0,0,0,0,0,7,0,0,3,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,2.197224577,0,8,22,0,22,15,0,15,45,0,45,7,0,8,0,0,0,0,11,19,7,0,3,0,7,1,2,0,7,0.000785909,-0.000785909,-0.102776739,-0.160250838,0.131742066,0.007393714,0.152304889
5,F 2x,F 2x,Fertilizer,0,0,1,0,0,0,0,0,0,2,1,5,31.19719444,29.18164516,30.5,31.09096774,1115,387,344.3,1306.83871,33,75,0,-4.003022834,135,0.1678,1141,0.4127,128,0.385,7386,0.3295,7827,0.401,10924,0.0661,8701,0.3763,6285,0.3832,2,0,0,0,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,3,1.386294361,0,3,1,0,1,14,2,16,18,2,20,3,0,20,0,0,2,2,65,87,5,0,3,0,7,0,3,0,7,-0.008374028,0.008374028,0.32290511,0.348583495,-0.051088186,0.003363472,0.093196273
6,C + A,C + A,C + A,1,1,0,1,1,0,0,1,1,0,1,6,31.91497222,30.33748387,30.8,31.04822581,1465,1399,453.9,1647.483871,39,108,0.4841,-0.06133816,59,0,53,0,249,0.3599,11351,0.3353,7405,0.3732,8692,0.1498,2261,0.5133,2721,0.3577,0,0,0,3,0,0,4,0,0,7,0,0,8,1,0,3,0,1,6,0,0,5,4,0,4,5,0,6,0,0,4,11,0,4,6,0,2,0,0,0,9,0,0,1,10,21,3.091042453,0,21,20,25,45,15,12,27,56,37,93,0,0,20,157,0,209,36,176,405,193,3,0,1,6,0,3,0,7,1.020520424,-1.020520424,-0.073020743,0.253405901,0.131644438,0.175158861,0.121985969
7,F 1x,F 1x,Fertilizer,0,0,1,0,0,0,0,0,0,1,1,7,31.48636111,30.08106452,31,30.33503226,1540,1293,1036.3,792.7741935,54,108,0.4266,-0.284983015,103,0.2624,49,0,107,0.341,9234,0.5298,13001,0.3571,11256,0.0274,11766,0.336,1645,0.2919,2,0,1,1,0,1,6,0,0,0,0,0,10,1,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1.098612289,0,2,12,1,13,11,2,13,25,3,28,0,0,7,0,0,0,0,0,7,0,0,3,0,7,2,1,0,7,0.013696115,-0.013696115,0.245225293,0.42431971,-0.079501341,-0.00118597,0.085140517
8,C 1x,C 1x,Chlorpyrifos,0,1,0,0,0,0,0,0,1,0,1,8,31.98286111,29.62064516,31.2,31.28777419,1979,473,1635.2,1938.580645,49,39,0,-4.003022834,54,0,53,0,116,0,3754,0.5588,2681,0.4292,4050,0.3068,2766,0.471,1153,0.5611,4,0,0,6,0,0,4,0,0,4,0,0,6,1,0,3,1,0,10,0,0,9,0,0,9,2,0,6,1,0,5,6,0,9,4,0,0,2,0,0,0,0,0,4,0,24,3.218875825,3,27,26,7,33,25,11,36,75,21,96,0,0,63,4,0,22,87,369,454,91,3,0,1,6,0,3,0,7,1.020520424,-1.020520424,-0.120748287,-0.170189423,0.075393462,0.12636933,-0.082053718
9,W,Control,Control,0,0,0,0,0,0,0,0,0,0,1,9,31.2255,29.2526129,30.3,29.79509677,1115,520,521.6,510.4516129,22,54,0,-4.003022834,100,0,54,0,24,0,8047,0.4432,9362,0.3112,12253,0.1192,14616,0.3774,9698,0.4729,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,3,0,3,10,0,10,6,1,19,0,0,2,1,21,42,7,0,3,0,7,0,3,0,7,-0.008374028,0.008374028,-0.002037059,0.125399801,0.00449944,0.006474395,0.011415422
10,S,Control,Control,0,0,0,0,0,0,0,0,0,0,1,10,31.81822222,29.91529032,31.1,30.69287097,1234,753,1036.8,846.4516129,65,81,0,-4.003022834,92,0,73,0,165,0.2487,7507,0.4779,6112,0.3817,8584,0.0311,6269,0.2412,2131,0.416,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1.386294361,0,3,2,0,2,4,0,4,9,0,9,0,0,15,0,0,3,0,24,42,0,0,3,1,6,2,1,0,7,-0.046147891,0.046147891,0.008996631,0.023355921,-0.027339077,0.00857562,0.01513609
11,C 2x,C 2x,Chlorpyrifos,0,1,0,0,0,0,0,0,2,0,1,11,31.52869444,29.62741935,31.1,30.94903226,1008,530,518.9,890.8387097,48,109,0,-4.003022834,45,0,68,0,59,0,11098,0.3717,5542,0.3612,8223,0.0459,4417,0.3723,5796,0.5149,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,2,0,0,1,1,1,3,4,2,3,4,0,7,12,0,1,8,0,0,0,0,0,0,0,0,13,2,5,1.791759469,4,9,8,13,21,8,25,33,21,42,63,76,1,92,206,0,223,516,644,959,798,2,1,1,6,0,3,0,7,1.045232148,-1.045232148,-0.116561632,-0.017360692,0.004653005,0.195490781,0.040340538
