Plate,Block,Well,Treatment,Control,H2O,Solvent,Atrazine,Chlorpyrifos,Fertilizer,eggs,miracidia,unhatched,per_hatch,species
1,1,A2,A1x,0,0,0,1,0,0,17,1,16,0.058823529,mansoni
1,2,D5,A1x,0,0,0,1,0,0,15,0,15,0,mansoni
2,2,A4,A1x,0,0,0,1,0,0,14,0,14,0,mansoni
2,1,D1,A1x,0,0,0,1,0,0,26,0,26,0,mansoni
3,2,A6,A1x,0,0,0,1,0,0,39,3,36,0.076923077,mansoni
3,1,C1,A1x,0,0,0,1,0,0,24,1,23,0.041666667,mansoni
4,2,A4,A1x,0,0,0,1,0,0,29,5,24,0.172413793,mansoni
4,1,D1,A1x,0,0,0,1,0,0,32,2,30,0.0625,mansoni
1,1,A3,A1x,0,0,0,1,0,0,35,0,35,0,haematobium
1,2,B5,A1x,0,0,0,1,0,0,33,0,33,0,haematobium
3,1,A3,A1x,0,0,0,1,0,0,35,3,32,0.085714286,haematobium
3,2,B5,A1x,0,0,0,1,0,0,22,1,21,0.045454545,haematobium
1,2,A6,A2x,0,0,0,2,0,0,28,2,26,0.071428571,mansoni
1,1,C1,A2x,0,0,0,2,0,0,19,2,17,0.105263158,mansoni
2,1,D2,A2x,0,0,0,2,0,0,9,3,6,0.333333333,mansoni
2,2,D5,A2x,0,0,0,2,0,0,22,4,18,0.181818182,mansoni
3,1,A1,A2x,0,0,0,2,0,0,23,2,21,0.086956522,mansoni
3,2,B6,A2x,0,0,0,2,0,0,40,5,35,0.125,mansoni
4,1,D2,A2x,0,0,0,2,0,0,27,1,26,0.037037037,mansoni
4,2,D5,A2x,0,0,0,2,0,0,41,3,38,0.073170732,mansoni
1,2,A4,A2x,0,0,0,2,0,0,37,0,37,0,haematobium
1,1,B3,A2x,0,0,0,2,0,0,48,0,48,0,haematobium
2,1,B1,A2x,0,0,0,2,0,0,52,7,45,0.134615385,haematobium
2,1,D1,A2x,0,0,0,2,0,0,37,1,36,0.027027027,haematobium
2,2,D4,A2x,0,0,0,2,0,0,29,3,26,0.103448276,haematobium
2,2,D5,A2x,0,0,0,2,0,0,23,1,22,0.043478261,haematobium
3,1,B3,A2x,0,0,0,2,0,0,16,0,16,0,haematobium
3,2,C4,A2x,0,0,0,2,0,0,39,1,38,0.025641026,haematobium
1,1,C3,AC,0,0,0,1,1,0,29,1,28,0.034482759,mansoni
1,2,C6,AC,0,0,0,1,1,0,33,2,31,0.060606061,mansoni
2,2,A6,AC,0,0,0,1,1,0,28,1,27,0.035714286,mansoni
2,1,B3,AC,0,0,0,1,1,0,29,5,24,0.172413793,mansoni
3,1,A2,AC,0,0,0,1,1,0,31,7,24,0.225806452,mansoni
3,2,C4,AC,0,0,0,1,1,0,37,3,34,0.081081081,mansoni
4,2,A6,AC,0,0,0,1,1,0,24,5,19,0.208333333,mansoni
4,1,B3,AC,0,0,0,1,1,0,29,1,28,0.034482759,mansoni
1,1,A1,AC,0,0,0,1,1,0,56,1,55,0.017857143,haematobium
1,2,B4,AC,0,0,0,1,1,0,32,0,32,0,haematobium
2,1,B2,AC,0,0,0,1,1,0,22,4,18,0.181818182,haematobium
2,2,C5,AC,0,0,0,1,1,0,39,7,32,0.179487179,haematobium
3,1,D1,AC,0,0,0,1,1,0,31,0,31,0,haematobium
3,2,D5,AC,0,0,0,1,1,0,9,0,9,0,haematobium
1,1,C2,ACF,0,0,0,1,1,1,16,1,15,0.0625,mansoni
1,2,D6,ACF,0,0,0,1,1,1,19,1,18,0.052631579,mansoni
2,2,B5,ACF,0,0,0,1,1,1,21,1,20,0.047619048,mansoni
2,1,C2,ACF,0,0,0,1,1,1,12,1,11,0.083333333,mansoni
3,2,A4,ACF,0,0,0,1,1,1,40,1,39,0.025,mansoni
3,1,C2,ACF,0,0,0,1,1,1,37,2,35,0.054054054,mansoni
4,2,B5,ACF,0,0,0,1,1,1,17,0,17,0,mansoni
4,1,C2,ACF,0,0,0,1,1,1,34,1,33,0.029411765,mansoni
1,2,A6,ACF,0,0,0,1,1,1,34,0,34,0,haematobium
1,1,B2,ACF,0,0,0,1,1,1,26,0,26,0,haematobium
2,2,B4,ACF,0,0,0,1,1,1,38,3,35,0.078947368,haematobium
2,1,C3,ACF,0,0,0,1,1,1,45,2,43,0.044444444,haematobium
3,1,B1,ACF,0,0,0,1,1,1,10,1,9,0.1,haematobium
3,2,B6,ACF,0,0,0,1,1,1,29,0,29,0,haematobium
1,2,C5,AF,0,0,0,1,0,1,15,1,14,0.066666667,mansoni
1,1,D3,AF,0,0,0,1,0,1,16,0,16,0,mansoni
2,1,A3,AF,0,0,0,1,0,1,16,4,12,0.25,mansoni
2,2,D6,AF,0,0,0,1,0,1,17,3,14,0.176470588,mansoni
