time_wks,time,chem,dose,surv,prop_surv,mort,eggs_snail,eggs_snail_day,rel_surv,rel_repro
0,0,control,0,50,1,0,0,0,1,1
1,7,control,0,47,0.94,6,1.6,0.228571429,1,1
2,14,control,0,46,0.92,8,5.2,0.742857143,1,1
3,21,control,0,43,0.86,14,6.2,0.885714286,1,1
4,28,control,0,40,0.8,20,14.5,2.071428571,1,1
5,35,control,0,37,0.74,26,22.2,3.171428571,1,1
6,42,control,0,35,0.7,30,26.31,3.758571429,1,1
7,49,control,0,31,0.62,38,18.4,2.628571429,1,1
8,56,control,0,21,0.42,58,16.6,2.371428571,1,1
9,63,control,0,18,0.36,64,12.8,1.828571429,1,1
10,70,control,0,15,0.3,70,8.4,1.2,1,1
0,0,chlorpyrifos,720,50,1,0,0,0,1,1
1,7,chlorpyrifos,720,39,0.78,22,0,0,0.83,0
2,14,chlorpyrifos,720,31,0.62,38,1.4,0.2,0.674,0.269
3,21,chlorpyrifos,720,24,0.48,52,1.4,0.2,0.558,0.226
4,28,chlorpyrifos,720,20,0.4,60,2.6,0.371428571,0.5,0.179
5,35,chlorpyrifos,720,15,0.3,70,1.6,0.228571429,0.405,0.072
6,42,chlorpyrifos,720,12,0.24,76,1.4,0.2,0.343,0.053
7,49,chlorpyrifos,720,6,0.12,88,0.82,0.117142857,0.194,0.045
8,56,chlorpyrifos,720,3,0.06,94,0,0,0.143,0
9,63,chlorpyrifos,720,0,0,100,0,0,0,0
10,70,chlorpyrifos,720,0,0,100,0,0,0,0
0,0,profenofos,1400,50,1,0,0,0,1,1
1,7,profenofos,1400,41,0.82,18,0,0,0.872,0
2,14,profenofos,1400,35,0.7,30,2.8,0.4,0.761,0.538
3,21,profenofos,1400,31,0.62,38,3.2,0.457142857,0.721,0.516
4,28,profenofos,1400,30,0.6,40,4.8,0.685714286,0.75,0.331
5,35,profenofos,1400,21,0.42,58,6.2,0.885714286,0.568,0.279
6,42,profenofos,1400,15,0.3,70,5.8,0.828571429,0.429,0.22
7,49,profenofos,1400,10,0.2,80,3.2,0.457142857,0.323,0.174
8,56,profenofos,1400,5,0.1,90,0,0,0.238,0
9,63,profenofos,1400,1,0.02,98,0,0,0.056,0
10,70,profenofos,1400,0,0,100,0,0,0,0
