chem,log_conc,ppm,conc,probit,mort
glyphosate,1.170886076,14.82129242,14821.29242,4.158516786,
glyphosate,1.302531646,20.06927325,20069.27325,4.170101816,
glyphosate,1.601265823,39.92692123,39926.92123,4.171725371,
glyphosate,2.001265823,100.2918917,100291.8917,4.749986241,
glyphosate,2.3,199.5262315,199526.2315,5.001609796,
glyphosate,2.5,316.227766,316227.766,5.513566318,
glyphosate,2.7,501.1872336,501187.2336,6.286392405,
atrazine,1.005586592,10.12946696,10129.46696,3.72097723,
atrazine,1.175977654,14.99607673,14996.07673,4.467002426,
atrazine,1.304469274,20.15901342,20159.01342,4.455187348,
atrazine,1.603351955,40.11917142,40119.17142,5.530306557,
atrazine,2.002793296,100.645253,100645.253,5.532828283,
atrazine,2.502793296,318.2682352,318268.2352,6.268308081,
atrazine,2.69273743,492.8757262,492875.7262,6.294759748,
