time_hrs,chem,larv,conc,mort,surv
0,butachlor,cercariae,0,0,100
0.5,butachlor,cercariae,0,0,100
1,butachlor,cercariae,0,0,100
2,butachlor,cercariae,0,2,98
3,butachlor,cercariae,0,3,97
4,butachlor,cercariae,0,5,95
5,butachlor,cercariae,0,8,92
6,butachlor,cercariae,0,12,88
24,butachlor,cercariae,0,91,9
0,butachlor,cercariae,650,0,100
0.5,butachlor,cercariae,650,0,100
1,butachlor,cercariae,650,0,100
2,butachlor,cercariae,650,0,100
3,butachlor,cercariae,650,6,94
4,butachlor,cercariae,650,9,91
5,butachlor,cercariae,650,14,86
6,butachlor,cercariae,650,28,72
24,butachlor,cercariae,650,92,8
0,butachlor,cercariae,1500,0,100
0.5,butachlor,cercariae,1500,0,100
1,butachlor,cercariae,1500,0,100
2,butachlor,cercariae,1500,4,96
3,butachlor,cercariae,1500,7,93
4,butachlor,cercariae,1500,11,89
5,butachlor,cercariae,1500,19,81
6,butachlor,cercariae,1500,32,68
24,butachlor,cercariae,1500,100,0
0,butachlor,cercariae,4500,0,100
0.5,butachlor,cercariae,4500,0,100
1,butachlor,cercariae,4500,0,100
2,butachlor,cercariae,4500,9,91
3,butachlor,cercariae,4500,14,86
4,butachlor,cercariae,4500,21,79
5,butachlor,cercariae,4500,32,68
6,butachlor,cercariae,4500,48,52
24,butachlor,cercariae,4500,100,0
0,butachlor,cercariae,6500,0,100
0.5,butachlor,cercariae,6500,2,98
1,butachlor,cercariae,6500,8,92
2,butachlor,cercariae,6500,13,87
3,butachlor,cercariae,6500,19,81
4,butachlor,cercariae,6500,31,69
5,butachlor,cercariae,6500,43,57
6,butachlor,cercariae,6500,62,38
24,butachlor,cercariae,6500,100,0
0,fluazifop-p-butyl,cercariae,0,0,100
0.5,fluazifop-p-butyl,cercariae,0,0,100
1,fluazifop-p-butyl,cercariae,0,0,100
2,fluazifop-p-butyl,cercariae,0,1,99
3,fluazifop-p-butyl,cercariae,0,2,98
4,fluazifop-p-butyl,cercariae,0,4,96
5,fluazifop-p-butyl,cercariae,0,9,91
6,fluazifop-p-butyl,cercariae,0,13,87
24,fluazifop-p-butyl,cercariae,0,89,11
0,fluazifop-p-butyl,cercariae,1760,0,100
0.5,fluazifop-p-butyl,cercariae,1760,0,100
1,fluazifop-p-butyl,cercariae,1760,0,100
2,fluazifop-p-butyl,cercariae,1760,0,100
3,fluazifop-p-butyl,cercariae,1760,2,98
4,fluazifop-p-butyl,cercariae,1760,4,96
5,fluazifop-p-butyl,cercariae,1760,12,88
6,fluazifop-p-butyl,cercariae,1760,28,72
24,fluazifop-p-butyl,cercariae,1760,85,15
0,fluazifop-p-butyl,cercariae,4500,0,100
0.5,fluazifop-p-butyl,cercariae,4500,0,100
