time,chem,conc,surv,prop_surv,prop_dead,rel_prop_surv,eggs_snail,eggs_snail_day,eggs
0,control,0,50,1,0,1,5.2,5.2,260
4,control,0,47,0.94,0.06,1,11.4,2.85,535.8
9,control,0,43,0.86,0.14,1,10,2,430
14,control,0,40,0.8,0.2,1,8.8,1.76,352
18,control,0,36,0.72,0.28,1,7.4,1.85,266.4
23,control,0,32,0.64,0.36,1,6.8,1.36,217.6
28,control,0,28,0.56,0.44,1,4.8,0.96,134.4
0,deltamethrin,1210,50,1,0,1,0,0,0
4,deltamethrin,1210,41,0.82,0.18,0.8723,6.4,1.6,262.4
9,deltamethrin,1210,31,0.62,0.38,0.7209,4.83,0.966,149.73
14,deltamethrin,1210,20,0.4,0.6,0.5,3.1,0.62,62
18,deltamethrin,1210,10,0.2,0.8,0.2778,0,0,0
23,deltamethrin,1210,0,0,1,0,0,0,0
28,deltamethrin,1210,0,0,1,0,0,0,0
0,malathion,480,50,1,0,1,0,0,0
4,malathion,480,34,0.68,0.32,0.7234,3.9,0.975,132.6
9,malathion,480,22,0.44,0.56,0.5116,0,0,0
14,malathion,480,8,0.16,0.84,0.2,0,0,0
18,malathion,480,0,0,1,0,0,0,0
23,malathion,480,0,0,1,0,0,0,0
28,malathion,480,0,0,1,0,0,0,0
