time_wks,time,chem,conc,surv,prop_surv,prop_dead,rel_prop_surv,rel_r0
0,0,control,0,100,1,0,1,NA
1,7,control,0,99,0.99,0.01,1,NA
2,14,control,0,98,0.98,0.02,1,NA
3,21,control,0,95,0.95,0.05,1,NA
4,28,control,0,91,0.91,0.09,1,NA
5,35,control,0,90,0.9,0.1,1,NA
6,42,control,0,85,0.85,0.15,1,NA
7,49,control,0,85,0.85,0.15,1,NA
8,56,control,0,8,0.08,0.92,1,1
0,0,butralin,556,100,1,0,1,NA
1,7,butralin,556,95,0.95,0.05,0.95959596,NA
2,14,butralin,556,88,0.88,0.12,0.897959184,NA
3,21,butralin,556,80,0.8,0.2,0.842105263,NA
4,28,butralin,556,70,0.7,0.3,0.769230769,NA
5,35,butralin,556,60,0.6,0.4,0.666666667,NA
6,42,butralin,556,20,0.2,0.8,0.235294118,NA
7,49,butralin,556,10,0.1,0.9,0.117647059,NA
8,56,butralin,556,5,0.05,0.95,0.625,0.16
0,0,butralin,2410,100,1,0,1,NA
1,7,butralin,2410,88,0.88,0.12,0.888888889,NA
2,14,butralin,2410,76,0.76,0.24,0.775510204,NA
3,21,butralin,2410,50,0.5,0.5,0.526315789,NA
4,28,butralin,2410,30,0.3,0.7,0.32967033,NA
5,35,butralin,2410,20,0.2,0.8,0.222222222,NA
6,42,butralin,2410,7,0.07,0.93,0.082352941,NA
7,49,butralin,2410,0,0,1,0,NA
8,56,butralin,2410,0,0,1,0,0.103
0,0,butralin,3906,100,1,0,1,NA
1,7,butralin,3906,81,0.81,0.19,0.818181818,NA
2,14,butralin,3906,73,0.73,0.27,0.744897959,NA
3,21,butralin,3906,30,0.3,0.7,0.315789474,NA
4,28,butralin,3906,5,0.05,0.95,0.054945055,NA
5,35,butralin,3906,0,0,1,0,NA
6,42,butralin,3906,0,0,1,0,NA
7,49,butralin,3906,0,0,1,0,NA
8,56,butralin,3906,0,0,1,0,0.092
0,0,glyphosate,1506,100,1,0,1,NA
1,7,glyphosate,1506,90,0.9,0.1,0.909090909,NA
2,14,glyphosate,1506,78,0.78,0.22,0.795918367,NA
3,21,glyphosate,1506,60,0.6,0.4,0.631578947,NA
4,28,glyphosate,1506,48,0.48,0.52,0.527472527,NA
5,35,glyphosate,1506,30,0.3,0.7,0.333333333,NA
6,42,glyphosate,1506,25,0.25,0.75,0.294117647,NA
7,49,glyphosate,1506,20,0.2,0.8,0.235294118,NA
8,56,glyphosate,1506,11,0.11,0.89,1.375,0.111
0,0,glyphosate,3870,100,1,0,1,NA
1,7,glyphosate,3870,81,0.81,0.19,0.818181818,NA
2,14,glyphosate,3870,61,0.61,0.39,0.62244898,NA
3,21,glyphosate,3870,50,0.5,0.5,0.526315789,NA
4,28,glyphosate,3870,16,0.16,0.84,0.175824176,NA
5,35,glyphosate,3870,10,0.1,0.9,0.111111111,NA
6,42,glyphosate,3870,5,0.05,0.95,0.058823529,NA
7,49,glyphosate,3870,0,0,1,0,NA
8,56,glyphosate,3870,0,0,1,0,0.096
0,0,glyphosate,9170,100,1,0,1,NA
1,7,glyphosate,9170,72,0.72,0.28,0.727272727,NA
2,14,glyphosate,9170,55,0.55,0.45,0.56122449,NA
3,21,glyphosate,9170,20,0.2,0.8,0.210526316,NA
4,28,glyphosate,9170,11,0.11,0.89,0.120879121,NA
5,35,glyphosate,9170,0,0,1,0,NA
6,42,glyphosate,9170,0,0,1,0,NA
7,49,glyphosate,9170,0,0,1,0,NA
8,56,glyphosate,9170,0,0,1,0,0.096
0,0,pendimethalin,214,100,1,0,1,NA
1,7,pendimethalin,214,86,0.86,0.14,0.868686869,NA
2,14,pendimethalin,214,82,0.82,0.18,0.836734694,NA
3,21,pendimethalin,214,65,0.65,0.35,0.684210526,NA
4,28,pendimethalin,214,50,0.5,0.5,0.549450549,NA
5,35,pendimethalin,214,36,0.36,0.64,0.4,NA
6,42,pendimethalin,214,18,0.18,0.82,0.211764706,NA
7,49,pendimethalin,214,11,0.11,0.89,0.129411765,NA
8,56,pendimethalin,214,5,0.05,0.95,0.625,0.118
0,0,pendimethalin,535,100,1,0,1,NA
1,7,pendimethalin,535,83,0.83,0.17,0.838383838,NA
2,14,pendimethalin,535,76,0.76,0.24,0.775510204,NA
3,21,pendimethalin,535,72,0.72,0.28,0.757894737,NA
4,28,pendimethalin,535,35,0.35,0.65,0.384615385,NA
5,35,pendimethalin,535,14,0.14,0.86,0.155555556,NA
6,42,pendimethalin,535,0,0,1,0,NA
7,49,pendimethalin,535,0,0,1,0,NA
8,56,pendimethalin,535,0,0,1,0,0.108
0,0,pendimethalin,1299,100,1,0,1,NA
1,7,pendimethalin,1299,66,0.66,0.34,0.666666667,NA
2,14,pendimethalin,1299,41,0.41,0.59,0.418367347,NA
3,21,pendimethalin,1299,26,0.26,0.74,0.273684211,NA
4,28,pendimethalin,1299,11,0.11,0.89,0.120879121,NA
5,35,pendimethalin,1299,0,0,1,0,NA
6,42,pendimethalin,1299,0,0,1,0,NA
7,49,pendimethalin,1299,0,0,1,0,NA
8,56,pendimethalin,1299,0,0,1,0,0.0967
