time_hrs,chem,conc,mort,surv,dead,alive,total,larvae
0,glyphosate,0,0,100,0,30,30,miracidia
0.25,glyphosate,0,0,100,0,30,30,miracidia
0.5,glyphosate,0,0,100,0,30,30,miracidia
1,glyphosate,0,0,100,0,30,30,miracidia
1.5,glyphosate,0,0,100,0,30,30,miracidia
2,glyphosate,0,3.6,96.4,1.08,28.92,30,miracidia
2.5,glyphosate,0,3.6,96.4,1.08,28.92,30,miracidia
3,glyphosate,0,3.6,96.4,1.08,28.92,30,miracidia
0,glyphosate,3.6,0,100,0,30,30,miracidia
0.25,glyphosate,3.6,0,100,0,30,30,miracidia
0.5,glyphosate,3.6,0,100,0,30,30,miracidia
1,glyphosate,3.6,13.8,86.2,4.14,25.86,30,miracidia
1.5,glyphosate,3.6,25.4,74.6,7.62,22.38,30,miracidia
2,glyphosate,3.6,39.2,60.8,11.76,18.24,30,miracidia
2.5,glyphosate,3.6,47.1,52.9,14.13,15.87,30,miracidia
3,glyphosate,3.6,50.9,49.1,15.27,14.73,30,miracidia
0,glyphosate,7.1,0,100,0,30,30,miracidia
0.25,glyphosate,7.1,10,90,3,27,30,miracidia
0.5,glyphosate,7.1,10,90,3,27,30,miracidia
1,glyphosate,7.1,32.2,67.8,9.66,20.34,30,miracidia
1.5,glyphosate,7.1,43.2,56.8,12.96,17.04,30,miracidia
2,glyphosate,7.1,52.8,47.2,15.84,14.16,30,miracidia
2.5,glyphosate,7.1,57.8,42.2,17.34,12.66,30,miracidia
3,glyphosate,7.1,66,34,19.8,10.2,30,miracidia
0,glyphosate,14.1,0,100,0,30,30,miracidia
0.25,glyphosate,14.1,0,100,0,30,30,miracidia
0.5,glyphosate,14.1,10,90,3,27,30,miracidia
1,glyphosate,14.1,18.5,81.5,5.55,24.45,30,miracidia
1.5,glyphosate,14.1,32.7,67.3,9.81,20.19,30,miracidia
2,glyphosate,14.1,68.8,31.2,20.64,9.36,30,miracidia
2.5,glyphosate,14.1,81.9,18.1,24.57,5.43,30,miracidia
3,glyphosate,14.1,100,0,30,0,30,miracidia
0,glyphosate,28.2,0,100,0,30,30,miracidia
0.25,glyphosate,28.2,0,100,0,30,30,miracidia
0.5,glyphosate,28.2,66.7,33.3,20.01,9.99,30,miracidia
1,glyphosate,28.2,83.3,16.7,24.99,5.01,30,miracidia
1.5,glyphosate,28.2,91.7,8.3,27.51,2.49,30,miracidia
2,glyphosate,28.2,95,5,28.5,1.5,30,miracidia
2.5,glyphosate,28.2,100,0,30,0,30,miracidia
3,glyphosate,28.2,100,0,30,0,30,miracidia
0,glyphosate,56.3,0,100,0,30,30,miracidia
0.25,glyphosate,56.3,70,30,21,9,30,miracidia
0.5,glyphosate,56.3,100,0,30,0,30,miracidia
1,glyphosate,56.3,100,0,30,0,30,miracidia
1.5,glyphosate,56.3,100,0,30,0,30,miracidia
2,glyphosate,56.3,100,0,30,0,30,miracidia
2.5,glyphosate,56.3,100,0,30,0,30,miracidia
3,glyphosate,56.3,100,0,30,0,30,miracidia
0,glyphosate,0,0,100,0,30,30,cercariae
0.25,glyphosate,0,0,100,0,30,30,cercariae
0.5,glyphosate,0,0,100,0,30,30,cercariae
1,glyphosate,0,0,100,0,30,30,cercariae
1.5,glyphosate,0,0,100,0,30,30,cercariae
2,glyphosate,0,0,100,0,30,30,cercariae
2.5,glyphosate,0,0,100,0,30,30,cercariae
3,glyphosate,0,0,100,0,30,30,cercariae
0,glyphosate,3.6,0,100,0,30,30,cercariae
0.25,glyphosate,3.6,0,100,0,30,30,cercariae
0.5,glyphosate,3.6,0,100,0,30,30,cercariae
1,glyphosate,3.6,0,100,0,30,30,cercariae
1.5,glyphosate,3.6,0,100,0,30,30,cercariae
2,glyphosate,3.6,0,100,0,30,30,cercariae
2.5,glyphosate,3.6,0,100,0,30,30,cercariae
3,glyphosate,3.6,0,100,0,30,30,cercariae
0,glyphosate,7.1,0,100,0,30,30,cercariae
0.25,glyphosate,7.1,0,100,0,30,30,cercariae
0.5,glyphosate,7.1,0,100,0,30,30,cercariae
1,glyphosate,7.1,0,100,0,30,30,cercariae
1.5,glyphosate,7.1,0,100,0,30,30,cercariae
2,glyphosate,7.1,0,100,0,30,30,cercariae
2.5,glyphosate,7.1,0,100,0,30,30,cercariae
3,glyphosate,7.1,0,100,0,30,30,cercariae
0,glyphosate,14.1,0,100,0,30,30,cercariae
0.25,glyphosate,14.1,0,100,0,30,30,cercariae
0.5,glyphosate,14.1,0,100,0,30,30,cercariae
1,glyphosate,14.1,1.7,98.3,0.51,29.49,30,cercariae
1.5,glyphosate,14.1,1.7,98.3,0.51,29.49,30,cercariae
2,glyphosate,14.1,1.7,98.3,0.51,29.49,30,cercariae
2.5,glyphosate,14.1,1.7,98.3,0.51,29.49,30,cercariae
3,glyphosate,14.1,1.7,98.3,0.51,29.49,30,cercariae
0,glyphosate,28.2,0,100,0,30,30,cercariae
0.25,glyphosate,28.2,0,100,0,30,30,cercariae
0.5,glyphosate,28.2,1.8,98.2,0.54,29.46,30,cercariae
1,glyphosate,28.2,31.7,68.3,9.51,20.49,30,cercariae
1.5,glyphosate,28.2,39.3,60.7,11.79,18.21,30,cercariae
2,glyphosate,28.2,48.2,51.8,14.46,15.54,30,cercariae
2.5,glyphosate,28.2,50,50,15,15,30,cercariae
3,glyphosate,28.2,63.4,36.6,19.02,10.98,30,cercariae
0,glyphosate,56.3,0,100,0,30,30,cercariae
0.25,glyphosate,56.3,0,100,0,30,30,cercariae
0.5,glyphosate,56.3,50,50,15,15,30,cercariae
1,glyphosate,56.3,50,50,15,15,30,cercariae
1.5,glyphosate,56.3,65,35,19.5,10.5,30,cercariae
2,glyphosate,56.3,65,35,19.5,10.5,30,cercariae
2.5,glyphosate,56.3,70,30,21,9,30,cercariae
3,glyphosate,56.3,80,20,24,6,30,cercariae
0,glyphosate,112.5,0,100,0,30,30,cercariae
0.25,glyphosate,112.5,0,100,0,30,30,cercariae
0.5,glyphosate,112.5,26.8,73.2,8.04,21.96,30,cercariae
1,glyphosate,112.5,72.3,27.7,21.69,8.31,30,cercariae
1.5,glyphosate,112.5,96.5,3.5,28.95,1.05,30,cercariae
2,glyphosate,112.5,100,0,30,0,30,cercariae
2.5,glyphosate,112.5,100,0,30,0,30,cercariae
3,glyphosate,112.5,100,0,30,0,30,cercariae
0,glyphosate,225,0,100,0,30,30,cercariae
0.25,glyphosate,225,74.8,25.2,22.44,7.56,30,cercariae
0.5,glyphosate,225,95,5,28.5,1.5,30,cercariae
1,glyphosate,225,100,0,30,0,30,cercariae
1.5,glyphosate,225,100,0,30,0,30,cercariae
2,glyphosate,225,100,0,30,0,30,cercariae
2.5,glyphosate,225,100,0,30,0,30,cercariae
3,glyphosate,225,100,0,30,0,30,cercariae
0,glyphosate,450,0,100,0,30,30,cercariae
0.25,glyphosate,450,86.7,13.3,26.01,3.99,30,cercariae
0.5,glyphosate,450,100,0,30,0,30,cercariae
1,glyphosate,450,100,0,30,0,30,cercariae
1.5,glyphosate,450,100,0,30,0,30,cercariae
2,glyphosate,450,100,0,30,0,30,cercariae
2.5,glyphosate,450,100,0,30,0,30,cercariae
3,glyphosate,450,100,0,30,0,30,cercariae
0,glyphosate,900,0,100,0,30,30,cercariae
0.25,glyphosate,900,100,0,30,0,30,cercariae
0.5,glyphosate,900,100,0,30,0,30,cercariae
1,glyphosate,900,100,0,30,0,30,cercariae
1.5,glyphosate,900,100,0,30,0,30,cercariae
2,glyphosate,900,100,0,30,0,30,cercariae
2.5,glyphosate,900,100,0,30,0,30,cercariae
3,glyphosate,900,100,0,30,0,30,cercariae
