time_hrs,chem,conc,mort,surv,dead,alive,total
0,control,0,0,100,0,160,160
2,control,0,0,100,0,160,160
4,control,0,0,100,0,160,160
6,control,0,0,100,0,160,160
8,control,0,0,100,0,160,160
10,control,0,1.34367,98.65633,2.149872,157.850128,160
12,control,0,2.89406,97.10594,4.630496,155.369504,160
14,control,0,11.4212,88.5788,18.27392,141.72608,160
16,control,0,47.5452,52.4548,76.07232,83.92768,160
18,control,0,75.4522,24.5478,120.72352,39.27648,160
20,control,0,86.7183,13.2817,138.74928,21.25072,160
22,control,0,95.3488,4.6512,152.55808,7.44192,160
24,control,0,98.8114,1.1886,158.09824,1.90176,160
26,control,0,100,0,160,0,160
0,atrazine,201,0,100,0,160,160
2,atrazine,201,0,100,0,160,160
4,atrazine,201,1.60207,98.39793,2.563312,157.436688,160
6,atrazine,201,1.60207,98.39793,2.563312,157.436688,160
8,atrazine,201,1.65375,98.34625,2.646,157.354,160
10,atrazine,201,3.61757,96.38243,5.788112,154.211888,160
12,atrazine,201,8.01034,91.98966,12.816544,147.183456,160
14,atrazine,201,21.0336,78.9664,33.65376,126.34624,160
16,atrazine,201,56.7959,43.2041,90.87344,69.12656,160
18,atrazine,201,84.2894,15.7106,134.86304,25.13696,160
20,atrazine,201,93.7984,6.2016,150.07744,9.92256,160
22,atrazine,201,97.0543,2.9457,155.28688,4.71312,160
24,atrazine,201,98.553,1.447,157.6848,2.3152,160
26,atrazine,201,100,0,160,0,160
0,glyphosate,3700,0,100,0,160,160
2,glyphosate,3700,0,100,0,160,160
4,glyphosate,3700,0,100,0,160,160
6,glyphosate,3700,0,100,0,160,160
8,glyphosate,3700,1.86047,98.13953,2.976752,157.023248,160
10,glyphosate,3700,2.73902,97.26098,4.382432,155.617568,160
12,glyphosate,3700,5.01292,94.98708,8.020672,151.979328,160
14,glyphosate,3700,17.416,82.584,27.8656,132.1344,160
16,glyphosate,3700,48.3721,51.6279,77.39536,82.60464,160
18,glyphosate,3700,79.5866,20.4134,127.33856,32.66144,160
20,glyphosate,3700,93.23,6.77,149.168,10.832,160
22,glyphosate,3700,98.6563,1.3437,157.85008,2.14992,160
24,glyphosate,3700,100,0,160,0,160
26,glyphosate,3700,100,0,160,0,160
0,carbaryl,33.5,0,100,0,160,160
2,carbaryl,33.5,0.633837,99.366163,1.0141392,158.9858608,160
4,carbaryl,33.5,1.10973,98.89027,1.775568,158.224432,160
6,carbaryl,33.5,1.21224,98.78776,1.939584,158.060416,160
8,carbaryl,33.5,2.70154,97.29846,4.322464,155.677536,160
10,carbaryl,33.5,4.77745,95.22255,7.64392,152.35608,160
12,carbaryl,33.5,8.24001,91.75999,13.184016,146.815984,160
14,carbaryl,33.5,16.9826,83.0174,27.17216,132.82784,160
16,carbaryl,33.5,46.8452,53.1548,74.95232,85.04768,160
18,carbaryl,33.5,72.0677,27.9323,115.30832,44.69168,160
20,carbaryl,33.5,88.8103,11.1897,142.09648,17.90352,160
22,carbaryl,33.5,94.9929,5.0071,151.98864,8.01136,160
24,carbaryl,33.5,99.5221,0.4779,159.23536,0.76464,160
26,carbaryl,33.5,100,0,160,0,160
0,malathion,9.6,0,100,0,160,160
2,malathion,9.6,1.9672,98.0328,3.14752,156.85248,160
4,malathion,9.6,1.96309,98.03691,3.140944,156.859056,160
6,malathion,9.6,2.86562,97.13438,4.584992,155.415008,160
8,malathion,9.6,3.34154,96.65846,5.346464,154.653536,160
10,malathion,9.6,6.00412,93.99588,9.606592,150.393408,160
12,malathion,9.6,8.13334,91.86666,13.013344,146.986656,160
14,malathion,9.6,17.9959,82.0041,28.79344,131.20656,160
16,malathion,9.6,44.2318,55.7682,70.77088,89.22912,160
18,malathion,9.6,72.1744,27.8256,115.47904,44.52096,160
20,malathion,9.6,84.3302,15.6698,134.92832,25.07168,160
22,malathion,9.6,93.0195,6.9805,148.8312,11.1688,160
24,malathion,9.6,97.0687,2.9313,155.30992,4.69008,160
26,malathion,9.6,100,0,160,0,160
