Study,id,species,time_hrs,chem,conc,mort,surv,total,dead
satapornvanit2009,1_1,m.rosenbergii,24,zinc,0,3.3,96.7,30,0.99
satapornvanit2009,1_1,m.rosenbergii,24,zinc,53.1,10,90,30,3
satapornvanit2009,1_1,m.rosenbergii,24,zinc,106.2,10,90,30,3
satapornvanit2009,1_1,m.rosenbergii,24,zinc,212.5,17,83,30,5.1
satapornvanit2009,1_1,m.rosenbergii,24,zinc,425,50,50,30,15
satapornvanit2009,1_1,m.rosenbergii,24,zinc,850,100,0,30,30
satapornvanit2009,1_2,m.rosenbergii,24,chlorpyrifos,0,10,90,30,3
satapornvanit2009,1_2,m.rosenbergii,24,chlorpyrifos,0.15625,5,95,30,1.5
satapornvanit2009,1_2,m.rosenbergii,24,chlorpyrifos,0.3125,11.7,88.3,30,3.51
satapornvanit2009,1_2,m.rosenbergii,24,chlorpyrifos,0.625,33.3,66.7,30,9.99
satapornvanit2009,1_2,m.rosenbergii,24,chlorpyrifos,1.25,93.3,6.7,30,27.99
satapornvanit2009,1_2,m.rosenbergii,24,chlorpyrifos,2.5,100,0,30,30
satapornvanit2009,1_2,m.rosenbergii,24,chlorpyrifos,5,100,0,30,30
satapornvanit2009,1_3,m.rosenbergii,24,dimethoate,0,20,80,30,6
satapornvanit2009,1_3,m.rosenbergii,24,dimethoate,78.125,40,60,30,12
satapornvanit2009,1_3,m.rosenbergii,24,dimethoate,156.25,57.5,42.5,30,17.25
satapornvanit2009,1_3,m.rosenbergii,24,dimethoate,312.5,85,15,30,25.5
satapornvanit2009,1_3,m.rosenbergii,24,dimethoate,625,100,0,30,30
satapornvanit2009,1_3,m.rosenbergii,24,dimethoate,1250,100,0,30,30
satapornvanit2009,1_4,m.rosenbergii,24,profenofos,0,23.3,76.7,30,6.99
satapornvanit2009,1_4,m.rosenbergii,24,profenofos,3.125,32.5,67.5,30,9.75
satapornvanit2009,1_4,m.rosenbergii,24,profenofos,6.25,42.5,57.5,30,12.75
satapornvanit2009,1_4,m.rosenbergii,24,profenofos,12.5,90,10,30,27
satapornvanit2009,1_4,m.rosenbergii,24,profenofos,25,100,0,30,30
satapornvanit2009,1_4,m.rosenbergii,24,profenofos,50,100,0,30,30
satapornvanit2009,1_5,m.rosenbergii,24,carbendazim,0,23.3,76.7,30,6.99
satapornvanit2009,1_5,m.rosenbergii,24,carbendazim,3.3,26.7,73.3,30,8.01
satapornvanit2009,1_5,m.rosenbergii,24,carbendazim,33,30,70,30,9
satapornvanit2009,1_5,m.rosenbergii,24,carbendazim,100,40,60,30,12
satapornvanit2009,1_5,m.rosenbergii,24,carbendazim,1000,33.3,66.7,30,9.99
satapornvanit2009,1_5,m.rosenbergii,24,carbendazim,10000,53.3,46.7,30,15.99
satapornvanit2009,1_6,m.rosenbergii,24,carbendazim,0,20,80,30,6
satapornvanit2009,1_6,m.rosenbergii,24,carbendazim,10000,23.3,76.7,30,6.99
satapornvanit2009,1_6,m.rosenbergii,24,carbendazim,25000,30,70,30,9
satapornvanit2009,1_6,m.rosenbergii,24,carbendazim,50000,18.3,81.7,30,5.49
satapornvanit2009,1_6,m.rosenbergii,24,carbendazim,100000,20,80,30,6
