time_hrs,chem,conc,mort,surv,dead,alive,total
0,mal,0,0,1,0,33,33
0,mal,30000,0,1,0,31,31
0,mal,60000,0,1,0,29,29
0,mal,90000,0,1,0,30,30
0,mal,120000,0,1,0,32,32
0,mal,150000,0,1,0,30,30
1,mal,0,0,1,0,33,33
1,mal,30000,0,1,0,31,31
1,mal,60000,0,1,0,29,29
1,mal,90000,0,1,0,30,30
1,mal,120000,0,1,0,32,32
1,mal,150000,0.033333333,0.966666667,1,29,30
2,mal,0,0,1,0,33,33
2,mal,30000,0,1,0,31,31
2,mal,60000,0,1,0,29,29
2,mal,90000,0.066666667,0.933333333,2,28,30
2,mal,120000,0.3125,0.6875,10,22,32
2,mal,150000,0.433333333,0.566666667,13,17,30
3,mal,0,0.03030303,0.96969697,1,32,33
3,mal,30000,0.064516129,0.935483871,2,29,31
3,mal,60000,0.172413793,0.827586207,5,24,29
3,mal,90000,0.3,0.7,9,21,30
3,mal,120000,0.53125,0.46875,17,15,32
3,mal,150000,0.7,0.3,21,9,30
4,mal,0,0.272727273,0.727272727,9,24,33
4,mal,30000,0.35483871,0.64516129,11,20,31
4,mal,60000,0.448275862,0.551724138,13,16,29
4,mal,90000,0.5,0.5,15,15,30
4,mal,120000,0.65625,0.34375,21,11,32
4,mal,150000,0.933333333,0.066666667,28,2,30
5,mal,0,0.363636364,0.636363636,12,21,33
5,mal,30000,0.419354839,0.580645161,13,18,31
5,mal,60000,0.586206897,0.413793103,17,12,29
5,mal,90000,0.633333333,0.366666667,19,11,30
5,mal,120000,0.78125,0.21875,25,7,32
5,mal,150000,1,0,30,0,30
6,mal,0,0.515151515,0.484848485,17,16,33
6,mal,30000,0.612903226,0.387096774,19,12,31
6,mal,60000,0.689655172,0.310344828,20,9,29
6,mal,90000,0.8,0.2,24,6,30
6,mal,120000,0.84375,0.15625,27,5,32
6,mal,150000,1,0,30,0,30
0,bay,0,0,1,0,29,29
0,bay,13,0,1,0,32,32
0,bay,30,0,1,0,31,31
0,bay,45,0,1,0,35,35
0,bay,60,0,1,0,32,32
0,bay,75,0,1,0,33,33
1,bay,0,0,1,0,29,29
1,bay,13,0,1,0,32,32
1,bay,30,0.032258065,0.967741935,1,30,31
1,bay,45,0.085714286,0.914285714,3,32,35
1,bay,60,0.1875,0.8125,6,26,32
1,bay,75,0.363636364,0.636363636,12,21,33
2,bay,0,0,1,0,29,29
2,bay,13,0,1,0,32,32
2,bay,30,0.032258065,0.967741935,1,30,31
2,bay,45,0.171428571,0.828571429,6,29,35
2,bay,60,0.375,0.625,12,20,32
2,bay,75,0.727272727,0.272727273,24,9,33
3,bay,0,0.034482759,0.965517241,1,28,29
3,bay,13,0.15625,0.84375,5,27,32
3,bay,30,0.225806452,0.774193548,7,24,31
3,bay,45,0.485714286,0.514285714,17,18,35
3,bay,60,0.75,0.25,24,8,32
3,bay,75,0.939393939,0.060606061,31,2,33
4,bay,0,0.172413793,0.827586207,5,24,29
4,bay,13,0.21875,0.78125,7,25,32
4,bay,30,0.451612903,0.548387097,14,17,31
4,bay,45,0.885714286,0.114285714,31,4,35
4,bay,60,0.96875,0.03125,31,1,32
4,bay,75,1,0,33,0,33
5,bay,0,0.275862069,0.724137931,8,21,29
5,bay,13,0.46875,0.53125,15,17,32
5,bay,30,0.580645161,0.419354839,18,13,31
5,bay,45,0.942857143,0.057142857,33,2,35
5,bay,60,1,0,32,0,32
5,bay,75,1,0,33,0,33
6,bay,0,0.344827586,0.655172414,10,19,29
6,bay,13,0.625,0.375,20,12,32
6,bay,30,0.774193548,0.225806452,24,7,31
6,bay,45,1,0,35,0,35
6,bay,60,1,0,32,0,32
6,bay,75,1,0,33,0,33
