time_hrs,chem,conc,mort,surv,dead,alive,total
0,amm_sulph,0,0,1,0,31,31
0,amm_sulph,1000000,0,1,0,30,30
0,amm_sulph,2000000,0,1,0,31,31
0,amm_sulph,3000000,0,1,0,32,32
0,amm_sulph,4000000,0,1,0,31,31
0,amm_sulph,5000000,0,1,0,29,29
1,amm_sulph,0,0,1,0,31,31
1,amm_sulph,1000000,0,1,0,30,30
1,amm_sulph,2000000,0,1,0,31,31
1,amm_sulph,3000000,0,1,0,32,32
1,amm_sulph,4000000,0.064516129,0.935483871,2,29,31
1,amm_sulph,5000000,0.137931034,0.862068966,4,25,29
2,amm_sulph,0,0,1,0,31,31
2,amm_sulph,1000000,0.066666667,0.933333333,2,28,30
2,amm_sulph,2000000,0.193548387,0.806451613,6,25,31
2,amm_sulph,3000000,0.28125,0.71875,9,23,32
2,amm_sulph,4000000,0.35483871,0.64516129,11,20,31
2,amm_sulph,5000000,0.310344828,0.689655172,9,20,29
3,amm_sulph,0,0.064516129,0.935483871,2,29,31
3,amm_sulph,1000000,0.333333333,0.666666667,10,20,30
3,amm_sulph,2000000,0.419354839,0.580645161,13,18,31
3,amm_sulph,3000000,0.5,0.5,16,16,32
3,amm_sulph,4000000,0.516129032,0.483870968,16,15,31
3,amm_sulph,5000000,0.724137931,0.275862069,21,8,29
4,amm_sulph,0,0.225806452,0.774193548,7,24,31
4,amm_sulph,1000000,0.5,0.5,15,15,30
4,amm_sulph,2000000,0.709677419,0.290322581,22,9,31
4,amm_sulph,3000000,0.71875,0.28125,23,9,32
4,amm_sulph,4000000,0.806451613,0.193548387,25,6,31
4,amm_sulph,5000000,0.965517241,0.034482759,28,1,29
5,amm_sulph,0,0.290322581,0.709677419,9,22,31
5,amm_sulph,1000000,0.666666667,0.333333333,20,10,30
5,amm_sulph,2000000,0.806451613,0.193548387,25,6,31
5,amm_sulph,3000000,0.875,0.125,28,4,32
5,amm_sulph,4000000,0.967741935,0.032258065,30,1,31
5,amm_sulph,5000000,1,0,29,0,29
6,amm_sulph,0,0.451612903,0.548387097,14,17,31
6,amm_sulph,1000000,0.766666667,0.233333333,23,7,30
6,amm_sulph,2000000,0.838709677,0.161290323,26,5,31
6,amm_sulph,3000000,0.90625,0.09375,29,3,32
6,amm_sulph,4000000,1,0,31,0,31
6,amm_sulph,5000000,1,0,29,0,29
0,urea,0,0,1,0,36,36
0,urea,2000000,0,1,0,31,31
0,urea,4000000,0,1,0,33,33
0,urea,6000000,0,1,0,30,30
0,urea,8000000,0,1,0,29,29
0,urea,10000000,0,1,0,32,32
1,urea,0,0,1,0,36,36
1,urea,2000000,0,1,0,31,31
1,urea,4000000,0,1,0,33,33
1,urea,6000000,0,1,0,30,30
1,urea,8000000,0,1,0,29,29
1,urea,10000000,0.09375,0.90625,3,29,32
2,urea,0,0,1,0,36,36
2,urea,2000000,0.032258065,0.967741935,1,30,31
2,urea,4000000,0.181818182,0.818181818,6,27,33
2,urea,6000000,0.133333333,0.866666667,4,26,30
2,urea,8000000,0.137931034,0.862068966,4,25,29
2,urea,10000000,0.40625,0.59375,13,19,32
3,urea,0,0.055555556,0.944444444,2,34,36
3,urea,2000000,0.161290323,0.838709677,5,26,31
3,urea,4000000,0.393939394,0.606060606,13,20,33
3,urea,6000000,0.366666667,0.633333333,11,19,30
3,urea,8000000,0.517241379,0.482758621,15,14,29
3,urea,10000000,0.78125,0.21875,25,7,32
4,urea,0,0.138888889,0.861111111,5,31,36
4,urea,2000000,0.258064516,0.741935484,8,23,31
4,urea,4000000,0.484848485,0.515151515,16,17,33
4,urea,6000000,0.5,0.5,15,15,30
4,urea,8000000,0.793103448,0.206896552,23,6,29
4,urea,10000000,1,0,32,0,32
5,urea,0,0.222222222,0.777777778,8,28,36
5,urea,2000000,0.419354839,0.580645161,13,18,31
5,urea,4000000,0.575757576,0.424242424,19,14,33
5,urea,6000000,0.7,0.3,21,9,30
5,urea,8000000,1,0,29,0,29
5,urea,10000000,1,0,32,0,32
6,urea,0,0.388888889,0.611111111,14,22,36
6,urea,2000000,0.612903226,0.387096774,19,12,31
6,urea,4000000,0.818181818,0.181818182,27,6,33
6,urea,6000000,1,0,30,0,30
6,urea,8000000,1,0,29,0,29
6,urea,10000000,1,0,32,0,32
