chem,conc,hatch,total,per_hatch
amm_sulph,0,18,18,1
amm_sulph,2000000,12,18,0.666666667
amm_sulph,4000000,7,18,0.388888889
amm_sulph,6000000,1,18,0.055555556
amm_sulph,8000000,1,18,0.055555556
amm_sulph,10000000,0,18,0
amm_sulph,0,27,27,1
amm_sulph,2000000,20,27,0.740740741
amm_sulph,4000000,13,27,0.481481481
amm_sulph,6000000,2,27,0.074074074
amm_sulph,8000000,1,27,0.037037037
amm_sulph,10000000,0,27,0
amm_sulph,0,33,33,1
amm_sulph,2000000,28,33,0.848484848
amm_sulph,4000000,12,33,0.363636364
amm_sulph,6000000,3,33,0.090909091
amm_sulph,8000000,0,33,0
amm_sulph,10000000,0,33,0
urea,0,39,39,1
urea,5000000,32,39,0.820512821
urea,10000000,14,39,0.358974359
urea,15000000,10,39,0.256410256
urea,20000000,6,39,0.153846154
urea,25000000,3,39,0.076923077
urea,30000000,2,39,0.051282051
urea,35000000,0,39,0
urea,40000000,0,39,0
urea,0,23,23,1
urea,5000000,18,23,0.782608696
urea,10000000,11,23,0.47826087
urea,15000000,8,23,0.347826087
urea,20000000,3,23,0.130434783
urea,25000000,2,23,0.086956522
urea,30000000,1,23,0.043478261
urea,35000000,1,23,0.043478261
urea,40000000,0,23,0
urea,0,27,27,1
urea,5000000,21,27,0.777777778
urea,10000000,15,27,0.555555556
urea,15000000,8,27,0.296296296
urea,20000000,4,27,0.148148148
urea,25000000,2,27,0.074074074
urea,30000000,2,27,0.074074074
urea,35000000,1,27,0.037037037
urea,40000000,0,27,0
