time_hrs,chem,conc,mort,surv,dead,alive,total
0,bayluscide,0,0,100,0,20,20
0.5,bayluscide,0,0,100,0,20,20
1,bayluscide,0,0,100,0,20,20
1.5,bayluscide,0,0,100,0,20,20
2,bayluscide,0,0,100,0,20,20
2.5,bayluscide,0,0,100,0,20,20
3,bayluscide,0,0,100,0,20,20
3.5,bayluscide,0,0,100,0,20,20
4,bayluscide,0,0,100,0,20,20
4.5,bayluscide,0,0,100,0,20,20
5,bayluscide,0,0,100,0,20,20
5.5,bayluscide,0,0,100,0,20,20
6,bayluscide,0,0,100,0,20,20
6.5,bayluscide,0,2,98,0.4,19.6,20
7,bayluscide,0,4,96,0.8,19.2,20
0,bayluscide,20,0,100,0,20,20
0.5,bayluscide,20,0,100,0,20,20
1,bayluscide,20,0,100,0,20,20
1.5,bayluscide,20,0,100,0,20,20
2,bayluscide,20,0,100,0,20,20
2.5,bayluscide,20,0,100,0,20,20
3,bayluscide,20,0,100,0,20,20
3.5,bayluscide,20,0,100,0,20,20
4,bayluscide,20,0,100,0,20,20
4.5,bayluscide,20,2.140203,97.859797,0.4280406,19.5719594,20
5,bayluscide,20,5.0598526,94.9401474,1.01197052,18.98802948,20
5.5,bayluscide,20,5.979697,94.020303,1.1959394,18.8040606,20
6,bayluscide,20,10.076282,89.923718,2.0152564,17.9847436,20
6.5,bayluscide,20,19.939405,80.060595,3.987881,16.012119,20
7,bayluscide,20,39.864693,60.135307,7.9729386,12.0270614,20
0,bayluscide,40,0,100,0,20,20
0.5,bayluscide,40,0,100,0,20,20
1,bayluscide,40,0,100,0,20,20
1.5,bayluscide,40,4.2144647,95.7855353,0.84289294,19.15710706,20
2,bayluscide,40,8.723276,91.276724,1.7446552,18.2553448,20
2.5,bayluscide,40,10.996013,89.003987,2.1992026,17.8007974,20
3,bayluscide,40,11.0912895,88.9087105,2.2182579,17.7817421,20
3.5,bayluscide,40,17.953857,82.046143,3.5907714,16.4092286,20
4,bayluscide,40,33.8775,66.1225,6.7755,13.2245,20
4.5,bayluscide,40,49.68346,50.31654,9.936692,10.063308,20
5,bayluscide,40,60.958996,39.041004,12.1917992,7.8082008,20
5.5,bayluscide,40,76.52971,23.47029,15.305942,4.694058,20
6,bayluscide,40,95.6311,4.3689,19.12622,0.87378,20
6.5,bayluscide,40,96.96239,3.03761,19.392478,0.607522,20
7,bayluscide,40,99.9996,0.0004,19.99992,8E-05,20
0,bayluscide,60,0,100,0,20,20
0.5,bayluscide,60,0,100,0,20,20
1,bayluscide,60,2.0594096,97.9405904,0.41188192,19.58811808,20
1.5,bayluscide,60,12.09917,87.90083,2.419834,17.580166,20
2,bayluscide,60,20.197287,79.802713,4.0394574,15.9605426,20
2.5,bayluscide,60,34.649788,65.350212,6.9299576,13.0700424,20
3,bayluscide,60,48.69063,51.30937,9.738126,10.261874,20
3.5,bayluscide,60,67.20351,32.79649,13.440702,6.559298,20
4,bayluscide,60,89.540825,10.459175,17.908165,2.091835,20
4.5,bayluscide,60,95.52044,4.47956,19.104088,0.895912,20
5,bayluscide,60,100,0,20,0,20
5.5,bayluscide,60,100,0,20,0,20
6,bayluscide,60,100,0,20,0,20
6.5,bayluscide,60,100,0,20,0,20
7,bayluscide,60,100,0,20,0,20
0,bayluscide,80,0,100,0,20,20
0.5,bayluscide,80,0,100,0,20,20
1,bayluscide,80,27.419918,72.580082,5.4839836,14.5160164,20
1.5,bayluscide,80,54.523365,45.476635,10.904673,9.095327,20
2,bayluscide,80,63.50421,36.49579,12.700842,7.299158,20
2.5,bayluscide,80,81.722435,18.277565,16.344487,3.655513,20
3,bayluscide,80,94.35131,5.64869,18.870262,1.129738,20
3.5,bayluscide,80,100,0,20,0,20
4,bayluscide,80,100,0,20,0,20
4.5,bayluscide,80,100,0,20,0,20
5,bayluscide,80,100,0,20,0,20
5.5,bayluscide,80,100,0,20,0,20
6,bayluscide,80,100,0,20,0,20
6.5,bayluscide,80,100,0,20,0,20
7,bayluscide,80,100,0,20,0,20
0,bayluscide,100,0,100,0,20,20
0.5,bayluscide,100,57.568733,42.431267,11.5137466,8.4862534,20
1,bayluscide,100,88.438126,11.561874,17.6876252,2.3123748,20
1.5,bayluscide,100,94.29983,5.70017,18.859966,1.140034,20
2,bayluscide,100,100,0,20,0,20
2.5,bayluscide,100,100,0,20,0,20
3,bayluscide,100,100,0,20,0,20
3.5,bayluscide,100,100,0,20,0,20
4,bayluscide,100,100,0,20,0,20
4.5,bayluscide,100,100,0,20,0,20
5,bayluscide,100,100,0,20,0,20
5.5,bayluscide,100,100,0,20,0,20
6,bayluscide,100,100,0,20,0,20
6.5,bayluscide,100,100,0,20,0,20
7,bayluscide,100,100,0,20,0,20
0,malathion,0,0,100,0,20,20
0.5,malathion,0,0,100,0,20,20
1,malathion,0,0,100,0,20,20
1.5,malathion,0,0,100,0,20,20
2,malathion,0,0,100,0,20,20
2.5,malathion,0,0,100,0,20,20
3,malathion,0,2.2746313,97.7253687,0.45492626,19.54507374,20
3.5,malathion,0,2.2746313,97.7253687,0.45492626,19.54507374,20
4,malathion,0,4.369557,95.630443,0.8739114,19.1260886,20
4.5,malathion,0,4.4370995,95.5629005,0.8874199,19.1125801,20
5,malathion,0,6.510884,93.489116,1.3021768,18.6978232,20
5.5,malathion,0,8.493684,91.506316,1.6987368,18.3012632,20
6,malathion,0,8.493684,91.506316,1.6987368,18.3012632,20
6.5,malathion,0,10.678814,89.321186,2.1357628,17.8642372,20
7,malathion,0,12.751559,87.248441,2.5503118,17.4496882,20
0,malathion,50000,0,100,0,20,20
0.5,malathion,50000,0,100,0,20,20
1,malathion,50000,0,100,0,20,20
1.5,malathion,50000,1.9,98.1047709,0.38,19.62,20
2,malathion,50000,7.4,92.5986037,1.48,18.52,20
2.5,malathion,50000,10.86,89.143521,2.172,17.828,20
3,malathion,50000,14.54,85.464483,2.908,17.092,20
3.5,malathion,50000,18.12,81.876171,3.624,16.376,20
4,malathion,50000,21.53,78.465153,4.306,15.694,20
4.5,malathion,50000,25.08,74.920383,5.016,14.984,20
5,malathion,50000,30.45,69.547447,6.09,13.91,20
5.5,malathion,50000,42.78,57.220577,8.556,11.444,20
6,malathion,50000,53.59,46.407978,10.718,9.282,20
6.5,malathion,50000,62.49,37.51297,12.498,7.502,20
7,malathion,50000,69.55,30.447174,13.91,6.09,20
0,malathion,100000,0,100,0,20,20
0.5,malathion,100000,0,100,0,20,20
1,malathion,100000,3.83,96.1650329,0.766,19.234,20
1.5,malathion,100000,15.85,84.1494665,3.17,16.83,20
2,malathion,100000,23.85,76.147163,4.77,15.23,20
2.5,malathion,100000,39.93,60.07427,7.986,12.014,20
3,malathion,100000,59.7,40.300198,11.94,8.06,20
3.5,malathion,100000,69.66,30.3352,13.932,6.068,20
4,malathion,100000,83.82,16.179634,16.764,3.236,20
4.5,malathion,100000,89.77,10.22712,17.954,2.046,20
5,malathion,100000,93.99,6.0136,18.798,1.202,20
5.5,malathion,100000,100,0,20,0,20
6,malathion,100000,100,0,20,0,20
6.5,malathion,100000,100,0,20,0,20
7,malathion,100000,100,0,20,0,20
0,malathion,150000,0,100,0,20,20
0.5,malathion,150000,6.4424133,93.5575867,1.28848266,18.71151734,20
1,malathion,150000,36.962063,63.037937,7.3924126,12.6075874,20
1.5,malathion,150000,51.91856,48.08144,10.383712,9.616288,20
2,malathion,150000,82.16967,17.83033,16.433934,3.566066,20
2.5,malathion,150000,86.7847,13.2153,17.35694,2.64306,20
3,malathion,150000,95.323555,4.676445,19.064711,0.935289,20
3.5,malathion,150000,100,0,20,0,20
4,malathion,150000,100,0,20,0,20
4.5,malathion,150000,100,0,20,0,20
5,malathion,150000,100,0,20,0,20
5.5,malathion,150000,100,0,20,0,20
6,malathion,150000,100,0,20,0,20
6.5,malathion,150000,100,0,20,0,20
7,malathion,150000,100,0,20,0,20
0,malathion,200000,0,100,0,20,20
0.5,malathion,200000,43.53715,56.46285,8.70743,11.29257,20
1,malathion,200000,90.37398,9.62602,18.074796,1.925204,20
1.5,malathion,200000,100,0,20,0,20
2,malathion,200000,100,0,20,0,20
2.5,malathion,200000,100,0,20,0,20
3,malathion,200000,100,0,20,0,20
3.5,malathion,200000,100,0,20,0,20
4,malathion,200000,100,0,20,0,20
4.5,malathion,200000,100,0,20,0,20
5,malathion,200000,100,0,20,0,20
5.5,malathion,200000,100,0,20,0,20
6,malathion,200000,100,0,20,0,20
6.5,malathion,200000,100,0,20,0,20
7,malathion,200000,100,0,20,0,20
0,malathion,250000,0,100,0,20,20
0.5,malathion,250000,94.45293,5.54707,18.890586,1.109414,20
1,malathion,250000,100,0,20,0,20
1.5,malathion,250000,100,0,20,0,20
2,malathion,250000,100,0,20,0,20
2.5,malathion,250000,100,0,20,0,20
3,malathion,250000,100,0,20,0,20
3.5,malathion,250000,100,0,20,0,20
4,malathion,250000,100,0,20,0,20
4.5,malathion,250000,100,0,20,0,20
5,malathion,250000,100,0,20,0,20
5.5,malathion,250000,100,0,20,0,20
6,malathion,250000,100,0,20,0,20
6.5,malathion,250000,100,0,20,0,20
7,malathion,250000,100,0,20,0,20
