"beta","lamda1","lamda2","lamda.twa","R0","snail.prev","W1","W2","W3","W4","likelihood_range1","likelihood_range2","likelihood_range3","likelihood_range4","likelihood_range234","likelihood_range1234"
4e-06,8e-06,7e-05,3.07542087542088e-05,0.52345914709076,0,0,0,0,0,0,0,0,0,0,0
4e-06,8e-06,8e-05,3.44242424242424e-05,0.52345914709076,0,0,0,0,0,0,0,0,0,0,0
4e-06,8e-06,9e-05,3.80942760942761e-05,0.52345914709076,0,0,0,0,0,0,0,0,0,0,0
4e-06,8e-06,1e-04,4.17643097643098e-05,0.52345914709076,0,0,0,0,0,0,0,0,0,0,0
4e-06,8e-06,2e-04,7.84646464646465e-05,0.52345914709076,0,0,0,0,0,0,0,0,0,0,0
4e-06,8e-06,3e-04,0.000115164983164983,0.52345914709076,0,0,0,0,0,0,0,0,0,0,0
4e-06,8e-06,4e-04,0.00015186531986532,0.52345914709076,0,0,0,0,0,0,0,0,0,0,0
4e-06,8e-06,5e-04,0.000188565656565657,0.52345914709076,0,0,0,0,0,0,0,0,0,0,0
4e-06,8e-06,6e-04,0.000225265993265993,0.52345914709076,0,0,0,0,0,0,0,0,0,0,0
4e-06,8e-06,7e-04,0.00026196632996633,0.52345914709076,0,0,0,0,0,0,0,0,0,0,0
4e-06,9e-06,7e-05,3.13872053872054e-05,0.555212268873004,0,0,0,0,0,0,0,0,0,0,0
4e-06,9e-06,8e-05,3.50572390572391e-05,0.555212268873004,0,0,0,0,0,0,0,0,0,0,0
4e-06,9e-06,9e-05,3.87272727272727e-05,0.555212268873004,0,0,0,0,0,0,0,0,0,0,0
4e-06,9e-06,1e-04,4.23973063973064e-05,0.555212268873004,0,0,0,0,0,0,0,0,0,0,0
4e-06,9e-06,2e-04,7.90976430976431e-05,0.555212268873004,0,0,0,0,0,0,0,0,0,0,0
4e-06,9e-06,3e-04,0.00011579797979798,0.555212268873004,0,0,0,0,0,0,0,0,0,0,0
4e-06,9e-06,4e-04,0.000152498316498317,0.555212268873004,0,0,0,0,0,0,0,0,0,0,0
4e-06,9e-06,5e-04,0.000189198653198653,0.555212268873004,0,0,0,0,0,0,0,0,0,0,0
4e-06,9e-06,6e-04,0.00022589898989899,0.555212268873004,0,0,0,0,0,0,0,0,0,0,0
4e-06,9e-06,7e-04,0.000262599326599327,0.555212268873004,0,0,0,0,0,0,0,0,0,0,0
4e-06,1e-05,7e-05,3.2020202020202e-05,0.5852451181695,0,0,0,0,0,0,0,0,0,0,0
4e-06,1e-05,8e-05,3.56902356902357e-05,0.5852451181695,0,0,0,0,0,0,0,0,0,0,0
4e-06,1e-05,9e-05,3.93602693602694e-05,0.5852451181695,0,0,0,0,0,0,0,0,0,0,0
4e-06,1e-05,1e-04,4.3030303030303e-05,0.5852451181695,0,0,0,0,0,0,0,0,0,0,0
4e-06,1e-05,2e-04,7.97306397306397e-05,0.5852451181695,0,0,0,0,0,0,0,0,0,0,0
4e-06,1e-05,3e-04,0.000116430976430976,0.5852451181695,0,0,0,0,0,0,0,0,0,0,0
4e-06,1e-05,4e-04,0.000153131313131313,0.5852451181695,0,0,0,0,0,0,0,0,0,0,0
4e-06,1e-05,5e-04,0.00018983164983165,0.5852451181695,0,0,0,0,0,0,0,0,0,0,0
4e-06,1e-05,6e-04,0.000226531986531987,0.5852451181695,0,0,0,0,0,0,0,0,0,0,0
4e-06,1e-05,7e-04,0.000263232323232323,0.5852451181695,0,0,0,0,0,0,0,0,0,0,0
4e-06,2e-05,7e-05,3.83501683501684e-05,0.827661583427952,0,0,0,0,0,0,0,0,0,0,0
4e-06,2e-05,8e-05,4.2020202020202e-05,0.827661583427952,0,0,0,0,0,0,0,0,0,0,0
4e-06,2e-05,9e-05,4.56902356902357e-05,0.827661583427952,0,0,0,0,0,0,0,0,0,0,0
4e-06,2e-05,1e-04,4.93602693602694e-05,0.827661583427952,0,0,0,0,0,0,0,0,0,0,0
4e-06,2e-05,2e-04,8.60606060606061e-05,0.827661583427952,0,0,0,0,0,0,0,0,0,0,0
4e-06,2e-05,3e-04,0.000122760942760943,0.827661583427952,0,0,0,0,0,0,0,0,0,0,0
4e-06,2e-05,4e-04,0.000159461279461279,0.827661583427952,0,0,0,0,0,0,0,0,0,0,0
4e-06,2e-05,5e-04,0.000196161616161616,0.827661583427952,0,0,0,0,0,0,0,0,0,0,0
4e-06,2e-05,6e-04,0.000232861952861953,0.827661583427952,0,0,0,0,0,0,0,0,0,0,0
4e-06,2e-05,7e-04,0.00026956228956229,0.827661583427952,0,0,0,0,0,0,0,0,0,0,0
4e-06,3e-05,7e-05,4.46801346801347e-05,1.01367427955123,-7.96234866342397e-40,0,0,0,0,0,0,0,0,0,0
4e-06,3e-05,8e-05,4.83501683501684e-05,1.01367427955123,-7.96234866342397e-40,0,0,0,0,0,0,0,0,0,0
4e-06,3e-05,9e-05,5.2020202020202e-05,1.01367427955123,-7.96234866342397e-40,0,0,0,0,0,0,0,0,0,0
4e-06,3e-05,1e-04,5.56902356902357e-05,1.01367427955123,-7.96234866342397e-40,0,0,0,0,0,0,0,0,0,0
4e-06,3e-05,2e-04,9.23905723905724e-05,1.01367427955123,-7.96234866342397e-40,0,0,0,0,0,0,0,0,0,0
4e-06,3e-05,3e-04,0.000129090909090909,1.01367427955123,-7.96234866342397e-40,0,0,0,0,0,0,0,0,0,0
4e-06,3e-05,4e-04,0.000165791245791246,1.01367427955123,-7.96234866342397e-40,0,0,0,0,0,0,0,0,0,0
4e-06,3e-05,5e-04,0.000202491582491582,1.01367427955123,-7.96234866342397e-40,0,0,0,0,0,0,0,0,0,0
4e-06,3e-05,6e-04,0.000239191919191919,1.01367427955123,-7.96234866342397e-40,0,0,0,0,0,0,0,0,0,0
4e-06,3e-05,7e-04,0.000275892255892256,1.01367427955123,-7.96234866342397e-40,0,0,0,0,0,0,0,0,0,0
4e-06,4e-05,7e-05,5.1010101010101e-05,1.170490236339,9.55741110255122e-36,0,0,0,0,0,0,0,0,0,0
4e-06,4e-05,8e-05,5.46801346801347e-05,1.170490236339,9.55741110255122e-36,0,0,0,0,0,0,0,0,0,0
4e-06,4e-05,9e-05,5.83501683501684e-05,1.170490236339,9.55741110255122e-36,0,0,0,0,0,0,0,0,0,0
4e-06,4e-05,1e-04,6.2020202020202e-05,1.170490236339,9.55741110255122e-36,0,0,0,0,0,0,0,0,0,0
4e-06,4e-05,2e-04,9.87205387205387e-05,1.170490236339,9.55741110255122e-36,0,0,0,0,0,0,0,0,0,0
4e-06,4e-05,3e-04,0.000135420875420875,1.170490236339,9.55741110255122e-36,0,0,0,0,0,0,0,0,0,0
4e-06,4e-05,4e-04,0.000172121212121212,1.170490236339,9.55741110255122e-36,0,0,0,0,0,0,0,0,0,0
4e-06,4e-05,5e-04,0.000208821548821549,1.170490236339,9.55741110255122e-36,0,0,0,0,0,0,0,0,0,0
4e-06,4e-05,6e-04,0.000245521885521885,1.170490236339,9.55741110255122e-36,0,0,0,0,0,0,0,0,0,0
4e-06,4e-05,7e-04,0.000282222222222222,1.170490236339,9.55741110255122e-36,0,0,0,0,0,0,0,0,0,0
4e-06,5e-05,7e-05,5.73400673400673e-05,1.3086478677269,6.25623349752343,13.5365651517224,0.973643114282168,2.12947957957218,1.51135110497379,1.80749102199551e-91,0.166539966132017,2.26493479049589e-07,0.000106061413704835,4.00065946921638e-12,7.23115607266991e-103
4e-06,5e-05,8e-05,6.1010101010101e-05,1.3086478677269,6.25623349752343,13.5365651517224,0.973643114282168,2.47923295109525,1.56398926832913,1.80749102199551e-91,0.166539966132017,2.76640837940263e-07,0.000137642580503701,6.341435354075e-12,1.14620874690554e-102
4e-06,5e-05,9e-05,6.46801346801347e-05,1.3086478677269,6.25623349752343,13.5365651517224,0.973643114282168,2.8386775181783,1.61734553681532,1.80749102199551e-91,0.166539966132017,3.39185614787112e-07,0.000178516316385894,1.00840226820084e-11,1.82267804633293e-102
4e-06,5e-05,1e-04,6.83501683501684e-05,1.3086478677269,6.25623349752343,13.5365651517224,0.973643114282168,3.20776081213365,1.67138672553862,1.80749102199551e-91,0.166539966132017,4.17393004719236e-07,0.000231307901844663,1.60788175598582e-11,2.90623183837473e-102
4e-06,5e-05,2e-04,0.000105050505050505,1.3086478677269,6.25623349752343,13.5365651517224,0.973643114282168,7.42224885744609,2.24220573161154,1.80749102199551e-91,0.166539966132017,3.91667558906062e-06,0.00274273141758154,1.78903713197801e-09,3.23366855406684e-100
